tick,zone,environmentSignal,sosCount,infraStress,zoneType,vulnerability
9,J,2.7,0,1.0,HIGH_RISE,0.9
10,A,9.0,48,1.8,SLUM,1.8
10,B,7.5,30,2.2,RESIDENTIAL,1.0
10,C,8.0,35,2.0,HOSPITAL,2.0
10,D,5.5,7,2.2,INDUSTRIAL,1.3
10,E,5.7,7,1.8,RESIDENTIAL,1.0
10,F,5.8,6,1.7,HIGH_RISE,0.9
10,G,6.0,6,1.8,RESIDENTIAL,1.0
10,H,2.8,0,1.0,HIGH_RISE,0.9
10,I,2.9,0,1.0,RESIDENTIAL,1.0
10,J,2.7,0,1.0,HIGH_RISE,0.9
11,A,8.8,44,1.7,SLUM,1.8
11,B,7.2,28,2.1,RESIDENTIAL,1.0
11,C,7.8,33,1.9,HOSPITAL,2.0
11,D,5.3,6,2.1,INDUSTRIAL,1.3
11,E,5.5,6,1.7,RESIDENTIAL,1.0
11,F,5.6,5,1.6,HIGH_RISE,0.9
11,G,5.8,5,1.7,RESIDENTIAL,1.0
11,H,2.8,0,1.0,HIGH_RISE,0.9
11,I,2.9,0,1.0,RESIDENTIAL,1.0
11,J,2.7,0,1.0,HIGH_RISE,0.9
12,A,8.5,40,1.6,SLUM,1.8
12,B,6.8,24,2.0,RESIDENTIAL,1.0
12,C,7.4,30,1.8,HOSPITAL,2.0
12,D,5.0,5,2.0,INDUSTRIAL,1.3
12,E,5.2,5,1.6,RESIDENTIAL,1.0
12,F,5.3,4,1.5,HIGH_RISE,0.9
12,G,5.5,4,1.6,RESIDENTIAL,1.0
12,H,2.8,0,1.0,HIGH_RISE,0.9
12,I,2.9,0,1.0,RESIDENTIAL,1.0
12,J,2.7,0,1.0,HIGH_RISE,0.9
13,A,7.8,30,1.5,SLUM,1.8
13,B,6.0,18,1.8,RESIDENTIAL,1.0
13,C,6.5,22,1.6,HOSPITAL,2.0
13,D,4.5,4,1.8,INDUSTRIAL,1.3
13,E,4.8,4,1.5,RESIDENTIAL,1.0
13,F,4.9,3,1.4,HIGH_RISE,0.9
13,G,5.0,3,1.5,RESIDENTIAL,1.0
13,H,2.8,0,1.0,HIGH_RISE,0.9
13,I,2.9,0,1.0,RESIDENTIAL,1.0
13,J,2.7,0,1.0,HIGH_RISE,0.9
14,A,6.5,15,1.3,SLUM,1.8
14,B,5.0,10,1.5,RESIDENTIAL,1.0
14,C,5.5,12,1.4,HOSPITAL,2.0
14,D,4.0,3,1.4,INDUSTRIAL,1.3
14,E,4.2,3,1.3,RESIDENTIAL,1.0
14,F,4.3,2,1.2,HIGH_RISE,0.9
14,G,4.5,2,1.3,RESIDENTIAL,1.0
14,H,2.8,0,1.0,HIGH_RISE,0.9
14,I,2.9,0,1.0,RESIDENTIAL,1.0
14,J,2.7,0,1.0,HIGH_RISE,0.9
15,A,5.5,5,1.2,SLUM,1.8
15,B,4.5,5,1.2,RESIDENTIAL,1.0
15,C,5.0,6,1.2,HOSPITAL,2.0
15,D,3.8,2,1.2,INDUSTRIAL,1.3
15,E,4.0,2,1.1,RESIDENTIAL,1.0
15,F,4.1,1,1.1,HIGH_RISE,0.9
15,G,4.2,1,1.1,RESIDENTIAL,1.0
15,H,2.8,0,1.0,HIGH_RISE,0.9
15,I,2.9,0,1.0,RESIDENTIAL,1.0
15,J,2.7,0,1.0,HIGH_RISE,0.9
16,A,5.2,12,1.2,SLUM,1.8
16,B,4.3,8,1.3,RESIDENTIAL,1.0
16,C,4.8,10,1.3,HOSPITAL,2.0
16,D,3.7,2,1.2,INDUSTRIAL,1.3
16,E,3.9,2,1.1,RESIDENTIAL,1.0
16,F,4.0,1,1.1,HIGH_RISE,0.9
16,G,4.1,1,1.1,RESIDENTIAL,1.0
16,H,2.8,0,1.0,HIGH_RISE,0.9
16,I,2.9,0,1.0,RESIDENTIAL,1.0
16,J,2.7,0,1.0,HIGH_RISE,0.9
17,A,5.0,10,1.2,SLUM,1.8
17,B,4.2,7,1.2,RESIDENTIAL,1.0
17,C,4.6,9,1.2,HOSPITAL,2.0
17,D,3.6,2,1.1,INDUSTRIAL,1.3
17,E,3.8,2,1.1,RESIDENTIAL,1.0
17,F,3.9,1,1.0,HIGH_RISE,0.9
17,G,4.0,1,1.1,RESIDENTIAL,1.0
17,H,2.8,0,1.0,HIGH_RISE,0.9
17,I,2.9,0,1.0,RESIDENTIAL,1.0
17,J,2.7,0,1.0,HIGH_RISE,0.9
18,A,4.8,8,1.1,SLUM,1.8
18,B,4.0,6,1.1,RESIDENTIAL,1.0
18,C,4.4,8,1.1,HOSPITAL,2.0
18,D,3.5,1,1.1,INDUSTRIAL,1.3
18,E,3.7,1,1.0,RESIDENTIAL,1.0
18,F,3.8,1,1.0,HIGH_RISE,0.9
18,G,3.9,1,1.0,RESIDENTIAL,1.0
18,H,2.8,0,1.0,HIGH_RISE,0.9
18,I,2.9,0,1.0,RESIDENTIAL,1.0
18,J,2.7,0,1.0,HIGH_RISE,0.9
19,A,4.6,6,1.1,SLUM,1.8
19,B,3.9,5,1.1,RESIDENTIAL,1.0
19,C,4.2,6,1.1,HOSPITAL,2.0
19,D,3.5,1,1.0,INDUSTRIAL,1.3
19,E,3.6,1,1.0,RESIDENTIAL,1.0
19,F,3.7,1,1.0,HIGH_RISE,0.9
19,G,3.8,1,1.0,RESIDENTIAL,1.0
19,H,2.8,0,1.0,HIGH_RISE,0.9
19,I,2.9,0,1.0,RESIDENTIAL,1.0
19,J,2.7,0,1.0,HIGH_RISE,0.9
20,A,4.5,5,1.0,SLUM,1.8
20,B,3.8,4,1.0,RESIDENTIAL,1.0
20,C,4.0,5,1.0,HOSPITAL,2.0
20,D,3.5,1,1.0,INDUSTRIAL,1.3
20,E,3.6,1,1.0,RESIDENTIAL,1.0
20,F,3.7,1,1.0,HIGH_RISE,0.9
20,G,3.8,1,1.0,RESIDENTIAL,1.0
20,H,2.8,0,1.0,HIGH_RISE,0.9
20,I,2.9,0,1.0,RESIDENTIAL,1.0
20,J,2.7,0,1.0,HIGH_RISE,0.9
21,A,4.3,3,1.0,SLUM,1.8
21,B,3.7,2,1.0,RESIDENTIAL,1.0
21,C,3.9,3,1.0,HOSPITAL,2.0
21,D,3.5,1,1.0,INDUSTRIAL,1.3
21,E,3.6,1,1.0,RESIDENTIAL,1.0
21,F,3.7,1,1.0,HIGH_RISE,0.9
21,G,3.8,1,1.0,RESIDENTIAL,1.0
21,H,2.8,0,1.0,HIGH_RISE,0.9
21,I,2.9,0,1.0,RESIDENTIAL,1.0
21,J,2.7,0,1.0,HIGH_RISE,0.9
22,A,4.2,2,1.0,SLUM,1.8
22,B,3.6,2,1.0,RESIDENTIAL,1.0
22,C,3.8,2,1.0,HOSPITAL,2.0
22,D,3.5,1,1.0,INDUSTRIAL,1.3
22,E,3.6,1,1.0,RESIDENTIAL,1.0
22,F,3.7,1,1.0,HIGH_RISE,0.9
22,G,3.8,1,1.0,RESIDENTIAL,1.0
22,H,2.8,0,1.0,HIGH_RISE,0.9
22,I,2.9,0,1.0,RESIDENTIAL,1.0
22,J,2.7,0,1.0,HIGH_RISE,0.9
23,A,4.0,1,1.0,SLUM,1.8
23,B,3.5,1,1.0,RESIDENTIAL,1.0
23,C,3.7,1,1.0,HOSPITAL,2.0
23,D,3.5,1,1.0,INDUSTRIAL,1.3
23,E,3.6,1,1.0,RESIDENTIAL,1.0
23,F,3.7,1,1.0,HIGH_RISE,0.9
23,G,3.8,1,1.0,RESIDENTIAL,1.0
23,H,2.8,0,1.0,HIGH_RISE,0.9
23,I,2.9,0,1.0,RESIDENTIAL,1.0
23,J,2.7,0,1.0,HIGH_RISE,0.9
24,A,3.8,1,1.0,SLUM,1.8
24,B,3.5,1,1.0,RESIDENTIAL,1.0
24,C,3.6,1,1.0,HOSPITAL,2.0
24,D,3.5,1,1.0,INDUSTRIAL,1.3
24,E,3.6,1,1.0,RESIDENTIAL,1.0
24,F,3.7,1,1.0,HIGH_RISE,0.9
24,G,3.8,1,1.0,RESIDENTIAL,1.0
24,H,2.8,0,1.0,HIGH_RISE,0.9
24,I,2.9,0,1.0,RESIDENTIAL,1.0
24,J,2.7,0,1.0,HIGH_RISE,0.9
25,A,3.5,1,1.0,SLUM,1.8
25,B,3.5,1,1.0,RESIDENTIAL,1.0
25,C,3.5,1,1.0,HOSPITAL,2.0
25,D,3.5,1,1.0,INDUSTRIAL,1.3
25,E,3.6,1,1.0,RESIDENTIAL,1.0
25,F,3.7,1,1.0,HIGH_RISE,0.9
25,G,3.8,1,1.0,RESIDENTIAL,1.0
25,H,2.8,0,1.0,HIGH_RISE,0.9
25,I,2.9,0,1.0,RESIDENTIAL,1.0
25,J,2.7,0,1.0,HIGH_RISE,0.9
